catalog_number,price,manufacturer,direction,product_category,name,transport,CD
SPR00SIA1,849,Millipore,лабораторное,расходные материалы,SmartPak® Purification Pack,15,0
SYN185UV1,559,Millipore,лабораторное,расходные материалы,Photooxidation UV Lamp,15,15
TANKMPK03,99.70,Millipore,лабораторное,расходные материалы,Vent Filter,15,7
MPGP04001,261,Millipore,лабораторное,расходные материалы,Millipak® Express Filter,15,0
PR0GTLCS1,710,Millipore,лабораторное,расходные материалы,Progard® TL1 Pretreatment Pack,15,0
TANKVNT02,638,Millipore,лабораторное,расходные материалы,Vent Filter,15,7
CDUFBI001,386,Millipore,лабораторное,расходные материалы,Biopak® Polisher,15,0
ZLXUVLPL1,400,Millipore,лабораторное,расходные материалы,Bactericidal UV lamp,15,15
QGARD00R1,514,Millipore,лабораторное,расходные материалы,Q-Gard® Purification Cartridge,15,0
QTUM000EX,789,Millipore,лабораторное,расходные материалы,Quantum® Polishing Cartridge,15,0
PR0G0T0S2 ,608,Millipore,лабораторное,расходные материалы,Progard® TS2 Pretreatment Pack,15,0
TANKMPK01,213,Millipore,лабораторное,расходные материалы,Vent Filter,15,7
PR0G000T3,565,Millipore,лабораторное,расходные материалы,Progard® Pretreatment Pack,15,0
QPAK00TEX,605,Millipore,лабораторное,расходные материалы,QPAK® Purification Cartridge,15,0
TANKMPK02,146,Millipore,лабораторное,расходные материалы,Vent Filter,15,7
ZMQUVLP01,786,Millipore,лабораторное,расходные материалы,Photooxidation UV Lamp,15,15
QTUM0TEX1,595,Millipore,лабораторное,расходные материалы,Quantum® Polishing Cartridge,15,0
ZFA10UVM1,929,Millipore,лабораторное,расходные материалы,Photooxidation UV Lamp,15,15
SIPK0SIA1,391,Millipore,лабораторное,расходные материалы,SimpliPak® Purification Cartridge,15,0
SIMFILTER,250,Millipore,лабораторное,расходные материалы,Simfilter - 0.05 μm Final Filter,15,0
CDRC60202,1500,Millipore,лабораторное,расходные материалы,Reverse Osmosis Cartridge,15,0
SPR08SIA1,1130,Millipore,лабораторное,расходные материалы,SmartPak® Purification Pack,15,0
SIMPAK0R1,680,Millipore,лабораторное,расходные материалы,SimPak® Purification Cartridge,15,0
SIM0000UV,702,Millipore,лабораторное,расходные материалы,Photooxidation UV Lamp,15,15
ZLXUVLP01,375,Millipore,лабораторное,расходные материалы,Photooxidation UV Lamp,15,15
QGARDT1X1,676,Millipore,лабораторное,расходные материалы,Q-Gard® Purification Cartridge,15,0
PR0G00002,564,Millipore,лабораторное,расходные материалы,Progard® Pretreatment Pack,15,0
MPGP02001,254,Millipore,лабораторное,расходные материалы,Millipak® Express Filter,15,0
SPR00S001,559,Millipore,лабораторное,расходные материалы,SmartPak® Purification Pack,15,0
IPAKICPK1,1800,Millipore,лабораторное,расходные материалы,Milli-Q® IQ Element Consumable Kit,15,0
SYPK0SIA1,558,Millipore,лабораторное,расходные материалы,SynergyPak® Purification Cartridge,15,0
PR0GTXLCS1,796,Millipore,лабораторное,расходные материалы,Progard® XL Pretreatment Pack,15,0
TANKPE60,1870,Millipore,лабораторное,оборудование,Storage Tank,15,10
ZFRE012FC,512,Millipore,лабораторное,расходные материалы,Vent Filter,15,7
ZWACID012,324,Millipore,лабораторное,расходные материалы,ROCare,15,0
QTUM0TIX1,595,Millipore,лабораторное,расходные материалы,Quantum® Polishing Cartridge,15,0
ZWCL01F50,117,Millipore,лабораторное,расходные материалы,ROProtect C,15,5
IPAKKITA1,1230,Millipore,лабораторное,расходные материалы,Milli-Q® IQ/EQ 7000 Purification kit,15,0
SIMSV00WW,5000,Millipore,лабораторное,оборудование,Simplicity® Water Purification System,15,0
SLFH05010,182,Millipore,лабораторное,расходные материалы,Millex® hydrophobic PTFE vent filter,15,7
ZRQS0P3WW,6500,Millipore,лабораторное,оборудование,Direct-Q® Water Purification System,15,0
ZRQSVP8WW,7500,Millipore,лабораторное,оборудование,RiOs™ Water Purification System,15,0
SYNSVHFWW,5500,Millipore,лабораторное,оборудование,Synergy® Water Purification System,15,0
ZLXEV100WW,7000,Millipore,лабораторное,оборудование,Elix® Water Purification System,15,0
1065739025,373,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate dodecahydrate,10,5
1065769025,1080,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate dihydrate,10,5
1098289010,600,Merck,промышленное,промышленная химия,Potassium phosphate dibasic,10,5
1371209025,1605,Merck,промышленное,промышленная химия,Benzyl alcohol,10,5
108841000,327,Merck,промышленное,промышленная химия,Zinc oxide,10,5
1066529025,288,Merck,промышленное,промышленная химия,Sodium sulfite,10,5
1076539025,922,Merck,промышленное,промышленная химия,Sucrose,10,5
1370969025,1576,Merck,промышленное,промышленная химия,D-Mannitol,10,5
1022101000,228,Merck,промышленное,промышленная химия,Carbon disulfide,10,5
1008029025,967,Merck,промышленное,промышленная химия,L-(+)-Tartaric acid,10,5
1064475000,184,Merck,промышленное,промышленная химия,tri-Sodium citrate dihydrate,10,5
1064479025,680,Merck,промышленное,промышленная химия,Sodium citrate tribasic dihydrate,10,5
1064449025,250,Merck,промышленное,промышленная химия,Sodium chloride,10,5
1064825000,470,Merck,промышленное,промышленная химия,Sodium hydroxide pellets,10,5
1051519025,446,Merck,промышленное,промышленная химия,Potassium sulfate,10,5
1062905000,210,Merck,промышленное,промышленная химия,Sodium benzoate,10,5
1000569025,315,Merck,промышленное,промышленная химия,Acetic acid,10,5
1050321000,215,Merck,промышленное,промышленная химия,Potassium hydroxide,10,5
1062901000,230,Merck,промышленное,промышленная химия,Sodium benzoate,10,5
1036699025,1708,Merck,промышленное,промышленная химия,Glycine,10,5
1371171000,348,Merck,промышленное,промышленная химия,Dimethyl sulfoxide,10,5
1036689025,4496,Merck,промышленное,промышленная химия,Parteck® M DPI,10,5
1002431000,74,Merck,промышленное,промышленная химия,Citric acid monohydrate,10,5
1061879025,1866,Merck,промышленное,промышленная химия,Meglumine,10,5
1084869025,530,Merck,промышленное,промышленная химия,Urea,10,5
1008845000,312,Merck,промышленное,промышленная химия,HEIMPLATE Sab-Gluc.(4%)-Agar w. LHT,10,5
1020699025,252,Merck,промышленное,промышленная химия,Calcium carbonate,10,5
1066525000,120,Merck,промышленное,промышленная химия,Sodium sulfite,10,5
1085101000,165,Merck,промышленное,промышленная химия,Vanillin,10,5
1065775000,128,Merck,промышленное,промышленная химия,tri-Sodium phosphate dodecahydrate,10,5
1065855000,151,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate,10,5
1006981000,203,Merck,промышленное,промышленная химия,Phytanic acid,10,5
1054325000,246,Merck,промышленное,промышленная химия,Ammonia solution 25%,10,5
1002435000,311,Merck,промышленное,промышленная химия,Citric acid monohydrate,10,5
1371979025,8251,Merck,промышленное,промышленная химия,Poloxamer 188 EMPROVE® EXPERT compendial cell culture grade,10,5
1370179025,258,Merck,промышленное,промышленная химия,Sodium chloride,10,5
1083961000,1689,Merck,промышленное,промышленная химия,L-Tryptophan,10,5
1064829025,560,Merck,промышленное,промышленная химия,Sodium hydroxide pellets,10,5
8170819025,4732,Merck,промышленное,промышленная химия,Sodium caprylate,10,5
1050325000,184,Merck,промышленное,промышленная химия,Potassium hydroxide,10,5
1370939025,648,Merck,промышленное,промышленная химия,Sodium dihydrogen phosphate monohydrate,10,5
1063451000,29,Merck,промышленное,промышленная химия,Sodium dihydrogen phosphate dihydrate,10,5
1371205000,1745,Merck,промышленное,промышленная химия,Benzyl alcohol,10,5
1021101000,156,Merck,промышленное,промышленная химия,Calcium hydroxide,10,5
8245465000,234,Merck,промышленное,промышленная химия,"Hamilton® syringe, 7000 series, knurled hub",10,5
1243695000,180,Merck,промышленное,промышленная химия,Human Insulin,10,5
1084865000,240,Merck,промышленное,промышленная химия,Tris(hydroxymethyl)aminomethane,10,5
1066521000,39,Merck,промышленное,промышленная химия,Sodium sulfite,10,5
1008841000,193,Merck,промышленное,промышленная химия,Sucralose,10,5
1049355000,139,Merck,промышленное,промышленная химия,Potassium chloride,10,5
1065769010,324,Merck,промышленное,промышленная химия,Silicic acid,10,5
1098285000,160,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate dihydrate,10,5
1002415000,224,Merck,промышленное,промышленная химия,Citric acid,10,5
1009899025,300,Merck,промышленное,промышленная химия,Ethanol,10,5
1001120001,284,Merck,промышленное,промышленная химия,5-(3-NITRO-PHENYL)-5-OXO-PENTANOIC ACID,10,5
1076531000,512,Merck,промышленное,промышленная химия,Silicone oil,10,5
1076535000,175,Merck,промышленное,промышленная химия,Sucrose,10,5
1058425000,198,Merck,промышленное,промышленная химия,Monoclonal Anti-RIMS2 antibody produced in mouse,10,5
1372505000,295,Merck,промышленное,промышленная химия,"Anti-ARP2 antibody, Mouse monoclonal",10,5
1062909025,428,Merck,промышленное,промышленная химия,Sodium benzoate,10,5
1011001000,96,Merck,промышленное,промышленная химия,2-(3-Chlorophenoxy)propionic acid,10,5
1065779025,385,Merck,промышленное,промышленная химия,2-Iodohippuric acid,10,5
1063459025,291,Merck,промышленное,промышленная химия,Sodium dihydrogen phosphate dihydrate,10,5
1058521000,172,Merck,промышленное,промышленная химия,3-Furancarboxaldehyde,10,5
1097535000,136,Merck,промышленное,промышленная химия,"N-(1-(2-BROMOPHENOXY)-2,2,2-TRICHLOROETHYL)-2-FURAMIDE",10,5
1371971000,545,Merck,промышленное,промышленная химия,Poloxamer 188 EMPROVE® EXPERT compendial cell culture grade,10,5
1370931000,80,Merck,промышленное,промышленная химия,Sodium dihydrogen phosphate monohydrate,10,5
1085109010,539,Merck,промышленное,промышленная химия,4-Bromobenzoic acid,10,5
1061871000,210,Merck,промышленное,промышленная химия,Meglumine,10,5
1008055000,111,Merck,промышленное,промышленная химия,Titanium(IV) oxide,10,5
1006815000,254,Merck,промышленное,промышленная химия,Succinic acid,10,5
1049359025,431,Merck,промышленное,промышленная химия,Potassium chloride,10,5
1054225000,404,Merck,промышленное,промышленная химия,Ammonia solution,10,5
1008025000,260,Merck,промышленное,промышленная химия,L(+)-Tartaric acid,10,5
1065735000,124,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate dodecahydrate,10,5
1024229025,305,Merck,промышленное,промышленная химия,Calcium carbonate,10,5
1060352500,105,Merck,лабораторное,лабораторная химия,Methanol,10,5
1060072500,15,Merck,лабораторное,лабораторная химия,Methanol,10,5
1002019025,1750,Merck,лабораторное,лабораторная химия,Phenol,10,5
1000292500,101,Merck,лабораторное,лабораторная химия,Acetonitrile,10,5
1000291000,35,Merck,лабораторное,лабораторная химия,Acetonitrile,10,5
1101110010,100,Merck,промышленное,промышленная химия,MISSION® esiRNA,10,5
1101110011,118,Merck,промышленное,промышленная химия,"c-[2,2′]bithiophenyl-5-yl-methylamine",10,5
1001110005,279,Merck,промышленное,промышленная химия,Acetone-D6,10,5
1001110001,303,Merck,промышленное,промышленная химия,Chloroform-D1,10,5
1001110002,253,Merck,промышленное,промышленная химия,Ethyl alcohol,10,5
1001110003,284,Merck,промышленное,промышленная химия,Tetrahydrofuran,10,5
1001110004,560,Merck,промышленное,промышленная химия,"N,N-Dimethylformamide",10,5
1001110006,414,Merck,промышленное,промышленная химия,Acetone,10,5
1001110007,112,Merck,промышленное,промышленная химия,2-Propanol,10,5
1001110008,350,Merck,промышленное,промышленная химия,Trifluoroacetic acid,10,5
1001110009,207,Merck,промышленное,промышленная химия,Dichloromethane,10,5
1001120002,115,Merck,промышленное,промышленная химия,Toluene,10,5
1001120003,185,Merck,промышленное,промышленная химия,1-Methyl-2-pyrrolidinone,10,5
1001120004,276,Merck,промышленное,промышленная химия,Ethyl acetate,10,5
1001120005,228,Merck,промышленное,промышленная химия,Pyridine,10,5
1001120006,519,Merck,промышленное,промышленная химия,Heptane,10,5
1001120007,423,Merck,промышленное,промышленная химия,Hexane,10,5
1001120009,84,Merck,промышленное,промышленная химия,Water,10,5
1001120011,157,Merck,промышленное,промышленная химия,Glycerol,10,5
1001120012,75,Merck,промышленное,промышленная химия,Diethyl ether,10,5
1001120013,259,Merck,промышленное,промышленная химия,Ethylene glycol,10,5
1001120014,170,Merck,промышленное,промышленная химия,OmniPur® Water,10,5
1011015000,366,Merck,промышленное,промышленная химия,Phenol – chloroform – isoamyl alcohol mixture,10,5
1011025000,281,Merck,промышленное,промышленная химия,Phosphoric acid,10,5
1011031000,116,Merck,промышленное,промышленная химия,Chlorobenzene,10,5
1011041000,234,Merck,промышленное,промышленная химия,"1,2-Dichloroethane",10,5
1011051000,198,Merck,промышленное,промышленная химия,2-Methylbutane,10,5
1011061000,207,Merck,промышленное,промышленная химия,tert-Butyl methyl ether,10,5
1011051001,471,Merck,промышленное,промышленная химия,Xylenes,10,5
1011051002,150,Merck,промышленное,промышленная химия,1-Methyl-2-pyrrolidinone,10,5
1011051005,244,Merck,промышленное,промышленная химия,"1,2-Dimethoxyethane",10,5
1011051010,169,Merck,промышленное,промышленная химия,2-Methoxyethanol,10,5
1011051011,427,Merck,промышленное,промышленная химия,1-Butanol,10,5
1011051012,87,Merck,промышленное,промышленная химия,Hexadecane,10,5
1001001010,145,Merck,промышленное,промышленная химия,Dimethyl carbonate,10,5
1001022000,270,Merck,промышленное,промышленная химия,1-Propanol,10,5
1001035000,364,Merck,промышленное,промышленная химия,1-Methyl-2-pyrrolidinone,10,5
1001053000,99,Merck,промышленное,промышленная химия,tert-Butanol,10,5
1061005000,178,Merck,промышленное,промышленная химия,Formaldehyde solution,10,5
1001071000,290,Merck,промышленное,промышленная химия,Cyclohexane,10,5
1001081000,218,Merck,промышленное,промышленная химия,Isopropyl alcohol,10,5
1001091000,390,Merck,промышленное,промышленная химия,2-Methyltetrahydrofuran,10,5
1051511000,269,Merck,промышленное,промышленная химия,Potassium sulfate,10,5
1282015000,70,Merck,промышленное,промышленная химия,N-Ethyl-o-crotonotoluidide,10,5
1036691000,155,Merck,промышленное,промышленная химия,Glycine,10,5
1001051000,216,Merck,промышленное,промышленная химия,"Free Acid, Streptomyces chartreusensis",10,5
1001051001,211,Merck,промышленное,промышленная химия,Formic acid,10,5
1001051002,147,Merck,промышленное,промышленная химия,(S)-Lactic acid,10,5
1001051003,312,Merck,промышленное,промышленная химия,Poloxamer 188,10,5
1001051004,258,Merck,промышленное,промышленная химия,Polyethylene glycol 20000,10,5
1001051005,161,Merck,промышленное,промышленная химия,L-Glutamine,10,5
1001051006,154,Merck,промышленное,промышленная химия,Methyl 4-hydroxybenzoate,10,5
1001051007,312,Merck,промышленное,промышленная химия,Polyethylene glycol 6000,10,5
1001051009,222,Merck,промышленное,промышленная химия,Polyethylene glycol 4000,10,5
1001041000,115,Merck,промышленное,промышленная химия,Polyvinyl alcohol,10,5
1001045000,67,Merck,промышленное,промышленная химия,Triethanolamine,10,5
1050051000,90,Merck,промышленное,промышленная химия,Propyl 4-hydroxybenzoate,10,5
1001051010,260,Merck,промышленное,промышленная химия,Hexylene glycol,10,5
1001051011,154,Merck,промышленное,промышленная химия,Benzenesulfonic acid,10,5
1001051012,188,Merck,промышленное,промышленная химия,Ethyl acetate,10,5
1001051013,242,Merck,промышленное,промышленная химия,Fumaric acid,10,5
1001051014,560,Merck,промышленное,промышленная химия,Caffeine,10,5
1002439025,949,Merck,промышленное,промышленная химия,Citric acid monohydrate,10,5
1065851000,50,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate,10,5
1065765000,149,Merck,промышленное,промышленная химия,di-Sodium hydrogen phosphate dihydrate,10,5
1370931000,80,Merck,промышленное,промышленная химия,Sodium dihydrogen phosphate monohydrate,10,5
1098281000,174,Merck,промышленное,промышленная химия,di-Potassium hydrogen phosphate anhydrous,10,5
1371179010,312,Merck,промышленное,промышленная химия,Dimethyl sulfoxide,10,5
100110001,317,Merck,промышленное,промышленная химия,Hydrochloric acid,10,5
100110002,220,Merck,промышленное,промышленная химия,L-Histidine,10,5
1101100017,187,Merck,промышленное,промышленная химия,TWEEN® 80 (Polysorbate),10,5
1001100004,384,Merck,промышленное,промышленная химия,Sodium dodecyl sulfate,10,5
1101100005,138,Merck,промышленное,промышленная химия,Boric acid,10,5
1101100006,249,Merck,промышленное,промышленная химия,Imidazole,10,5
1101100007,166,Merck,промышленное,промышленная химия,Adipic acid,10,5
1101100008,398,Merck,промышленное,промышленная химия,Nicotinamide,10,5
1101100007,934,Merck,промышленное,промышленная химия,Polyethylene glycol 1500,10,5
1101100008,512,Merck,промышленное,промышленная химия,Polyethylene glycol 3000,10,5
1101100009,403,Merck,промышленное,промышленная химия,Sodium bromide,10,5
1101100010,113,Merck,промышленное,промышленная химия,"Polyvinyl alcohol, 18-88",10,5
1101100011,320,Merck,промышленное,промышленная химия,TWEEN® 60,10,5
1101100012,354,Merck,промышленное,промышленная химия,Maleic acid,10,5
1101100013,102,Merck,промышленное,промышленная химия,DL-Malic acid,10,5
1101100014,57,Merck,промышленное,промышленная химия,Sulfuric acid,10,5
1101100015,64,Merck,промышленное,промышленная химия,ortho-Phosphoric acid,10,5
1101100016,851,Merck,промышленное,промышленная химия,Benzenesulfonic acid,10,5
1080390001,98,Merck,лабораторное,лабораторная химия,Total Hardness Test,10,0
1144340001,54,Merck,лабораторное,лабораторная химия,Chlorine Test,10,0